source,target,weight
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Tóth, Zoltán_2025-11-19T21:46:26",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Parker, Cody_2025-11-19T21:47:49",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Stahl, Raphaela_2025-11-19T21:47:49",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Kochkina, Anna F._2025-11-19T21:47:49",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Geary, Patrick J._2025-11-19T21:15:24",2
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Popli, Divyaratan_2025-11-19T21:16:50",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Balogh, Csilla_2025-11-19T21:16:50",2
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Wang, Ke_2025-11-19T21:16:50",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Gulyás, Bence_2025-11-19T21:16:50",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Szeniczey, Tamás_2025-11-19T21:15:24",2
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Zlámalová, Denisa_2025-11-19T21:16:50",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Nelson, Elizabeth A._2025-11-19T21:47:49",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Szelekovszky, Márta_2025-11-19T21:46:26",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Faragó, Norbert_2025-11-19T21:16:50",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Vida, Tivadar_2025-11-19T21:15:24",2
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Hofmanová, Zuzana_2025-11-19T21:15:24",2
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Feldman, Michal_2025-11-19T21:47:49",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Schimmenti, Vittoria_2025-11-19T21:47:49",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Sabin, Susanna_2025-11-19T21:47:49",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Khartanovich, Valeri I._2025-11-19T21:16:51",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Gretzinger, Joscha_2025-11-19T21:21:20",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Mittnik, Alissa_2025-11-19T21:47:49",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Colleran, Heidi_2025-11-19T21:16:50",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Hága, Tamara_2025-11-19T21:46:26",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Friederich, Susanne_2025-11-19T21:20:32",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Tejedor-Rodríguez, Cristina_2025-11-19T21:47:49",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Kovacsóczy, Bernadett Ny_2025-11-19T21:46:26",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Neumann, Gunnar U._2025-11-19T21:20:31",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Michel, Megan_2025-11-19T21:47:49",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Friedrich, Ronny_2025-11-19T21:15:51",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Radzevičiūtė, Rita_2025-11-19T21:15:24",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","van Bömmel, Florian_2025-11-19T21:47:49",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Wissgott, Antje_2025-11-19T21:47:49",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Szeifert, Bea_2025-11-19T21:17:38",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Arcusa-Magallón, Héctor_2025-11-19T21:47:49",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Lezsák, Gabriella M._2025-11-19T21:46:26",2
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Brandt, Guido_2025-11-19T21:25:56",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Rivollat, Maïté_2025-11-19T21:47:49",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Szécsényi-Nagy, Anna_2025-11-19T21:16:50",2
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Hajdu, Tamás_2025-11-19T21:15:24",2
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Majander, Kerttu_2025-11-19T21:47:49",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Ferraz, Tiago_2025-11-19T21:47:49",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Benedek, András_2025-11-19T21:46:26",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Koncz, István_2025-11-19T21:15:24",2
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Kolozsi, Barbara_2025-11-19T21:46:26",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Dani, János_2025-11-19T21:16:51",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Major, Péter_2025-11-19T21:46:26",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Liccardo, Salvatore_2025-11-19T21:16:50",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Rohland, Nadin_2025-11-19T21:15:52",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Czifra, Szabolcs_2025-11-19T21:46:26",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Key, Felix M._2025-11-19T21:47:49",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Stashenkov, Dmitrii A_2025-11-19T21:17:38",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Marcsik, Antónia_2025-11-19T21:17:44",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Bunbury, Magdalena M E_2025-11-19T21:16:50",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Hübler, Ron_2025-11-19T21:47:49",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Khokhlov, Aleksandr A._2025-11-19T21:21:24",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Knipper, Corina_2025-11-19T21:16:50",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Spyrou, Maria A_2025-11-19T21:41:26",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Villalba-Mouco, Vanessa_2025-11-19T21:47:49",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Garrido-Pena, Rafael_2025-11-19T21:47:49",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Chaplygin, Mikhail S._2025-11-19T21:47:49",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Le Roux, Petrus_2025-11-19T21:16:45",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","de Lagrán, Íñigo García-Martínez_2025-11-19T21:47:49",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Tárnoki, Judit_2025-11-19T21:46:26",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Nägele, Kathrin_2025-11-19T21:47:13",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Skourtanioti, Eirini_2025-11-19T21:20:31",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Eisenmann, Stefanie_2025-11-19T21:47:49",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Musralina, Lyazzat_2025-11-19T21:47:49",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Tutkovics, Eszter K._2025-11-19T21:46:26",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Reich, David_2025-11-19T21:17:38",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Spekker, Olga_2025-11-19T21:16:50",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Rohrlach, Adam B._2025-11-19T21:47:49",2
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Bernert, Zsolt_2025-11-19T21:15:24",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Jászberényi, Mónika_2025-11-19T21:46:26",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Traverso, Luca_2025-11-19T21:16:50",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Kisjuhász, Viktória_2025-11-19T21:46:26",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Farkas, Zoltán_2025-11-19T21:46:26",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Barquera, Rodrigo_2025-11-19T21:41:26",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Guevara, Evelyn K._2025-11-19T21:47:49",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Pohl, Walter_2025-11-19T21:15:24",2
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Cheronet, Olivia_2025-11-19T21:17:38",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Csáky, Veronika_2025-11-19T21:17:38",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Rácz, Tibor Ákos_2025-11-19T21:46:26",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Karapetian, Marina K._2025-11-19T21:47:49",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Pfefferkorn, Maria_2025-11-19T21:47:49",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Papac, Luka_2025-11-19T21:47:49",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Samu, Levente_2025-11-19T21:16:50",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Aron, Franziska_2025-11-19T21:47:49",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Mácsai, Viktor_2025-11-19T21:16:50",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Kufterin, Vladimir V._2025-11-19T21:47:49",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Rácz, Zsófia_2025-11-19T21:16:50",2
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Jeong, Choongwon_2025-11-19T21:18:24",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Csiky, Gergely_2025-11-19T21:46:26",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Keller, Marcel_2025-11-19T21:47:13",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Krause, Johannes_2025-11-19T21:16:50",2
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Giffin, Karen_2025-11-19T21:47:49",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Wabnitz, Sandra_2025-11-19T21:16:50",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Kocher, Arthur_2025-11-19T21:47:49",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","van de Loosdrecht, Marieke S._2025-11-19T21:47:49",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Mende, Balázs Gusztáv_2025-11-19T21:15:24",2
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Ódor, János Gábor_2025-11-19T21:46:26",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Ghalichi, Ayshin_2025-11-19T21:20:31",1
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Chizhevskiy, Andrey A_2025-11-19T21:17:38",1
"Adhikari, Basanta R_2025-11-19T21:26:47","Bernhardt, Anne_2025-11-19T21:26:47",1
"Adhikari, Basanta R_2025-11-19T21:26:47","Stolle, Amelie_2025-11-19T21:26:47",1
"Adhikari, Basanta R_2025-11-19T21:26:47","Tofelde, Stefanie_2025-11-19T21:26:47",1
"Adhikari, Basanta R_2025-11-19T21:26:47","Schwanghart, Wolfgang_2025-11-19T21:26:47",1
"Adhikari, Basanta R_2025-11-19T21:26:47","Korup, Oliver_2025-11-19T21:26:47",1
"Adhikari, Basanta R_2025-11-19T21:26:47","Hoelzmann, Philipp_2025-11-19T21:26:47",1
"Adhikari, Basanta R_2025-11-19T21:26:47","Fort, Monique_2025-11-19T21:26:47",1
"Adhikari, Basanta R_2025-11-19T21:26:47","Andermann, Christoff_2025-11-19T21:26:47",1
"Adhikari, Basanta R_2025-11-19T21:26:47","Merchel, Silke_2025-11-19T21:26:47",1
"Adhikari, Basanta R_2025-11-19T21:26:47","Rugel, Georg_2025-11-19T21:26:47",1
"Roberds, William_2025-11-19T21:27:38","Velde, François_2025-11-19T21:27:38",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Aerts, Erik_2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Dickason, Olive Patricia_2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Wills, John E._2025-11-19T21:17:22",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Shatzmiller, Joseph_2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Treadgold, Warren_2025-11-19T21:17:25",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Callahan, Raymond A._2025-11-19T21:17:22",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Stater, Victor_2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Dickinson, Frederick R._2025-11-19T21:17:25",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Kennedy, Greg_2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Biddle, Tami Davis_2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Kumar, Krishan_2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Randrianja, Solofo_2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Stephenson, Paul_2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Cartledge, Paul_2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Menache, Sophia_2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Kerr, Ian J._2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Jalal, Ayesha_2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Peters, Edward_2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Barnhart, Michael A._2025-11-19T21:17:22",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Imlay, Talbot_2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Atkin, Nicholas_2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Berend, Ivan T._2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Herzog, Tamar_2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Höbelt, Lothar_2025-11-19T21:17:22",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Dale, Stephen Frederic_2025-11-19T21:28:55",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Ryan, David_2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Goldfrank, David M._2025-11-19T21:17:28",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Lowe, Peter_2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Laracy, Hugh_2025-11-19T21:17:22",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Schwartz, Thomas Alan_2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Wooley, Wesley T._2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Cayton, Andrew_2025-11-19T21:17:23",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Plummer, Brenda Gayle_2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","De Silva, Chandra R._2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Wrigley, Chris_2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Eksteins, Modris_2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Krepon, Michael_2025-11-19T21:17:22",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Quandt, William B._2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Ellwood, D. W._2025-11-19T21:17:23",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Weingartner, James J._2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Craft, Stephen G._2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Kent, Peter C._2025-11-19T21:17:20",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Miller, Rory_2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Halliday, Fred_2025-11-19T21:17:18",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Schwarz, Bill_2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Singh, Anita Inder_2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Peers, Douglas M._2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Redwood, John_2025-11-19T21:17:26",1
"Grimshaw, Patricia_2025-11-19T21:17:26","Mitter, Rana_2025-11-19T21:17:26",1
"Akhavi, Shahrough_2025-11-19T21:28:55","Dale, Stephen Frederic_2025-11-19T21:28:55",1
"Akhavi, Shahrough_2025-11-19T21:28:55","Daryaee, Touraj_2025-11-19T21:27:17",1
"Akhavi, Shahrough_2025-11-19T21:28:55","Herzig, Edmund_2025-11-19T21:28:55",1
"Akhavi, Shahrough_2025-11-19T21:28:55","Ehsani, Kaveh_2025-11-19T21:28:55",1
"Akhavi, Shahrough_2025-11-19T21:28:55","Sims, Eleanor_2025-11-19T21:28:55",1
"Akhavi, Shahrough_2025-11-19T21:28:55","Haar, Johan G. J. ter_2025-11-19T21:28:55",1
"Akhavi, Shahrough_2025-11-19T21:28:55","Balaghi, Shiva_2025-11-19T21:28:55",1
"Akhavi, Shahrough_2025-11-19T21:28:55","Blair, Sheila_2025-11-19T21:25:35",1
"Akhavi, Shahrough_2025-11-19T21:28:55","Avery, Peter_2025-11-19T21:28:55",1
"Akhavi, Shahrough_2025-11-19T21:28:55","Mottahedeh, Negar_2025-11-19T21:28:55",1
"Akhavi, Shahrough_2025-11-19T21:28:55","Arkun, Aram_2025-11-19T21:28:55",1
"Akhavi, Shahrough_2025-11-19T21:28:55","Bubriski, Kevin_2025-11-19T21:28:55",1
"Akhavi, Shahrough_2025-11-19T21:28:55","Mirfendereski, Guive_2025-11-19T21:28:55",1
"Akhavi, Shahrough_2025-11-19T21:28:55","Karimi-Hakkak, Ahmad_2025-11-19T21:28:55",1
"Akhavi, Shahrough_2025-11-19T21:28:55","Poonawala, Ismail_2025-11-19T21:28:55",1
"Akhavi, Shahrough_2025-11-19T21:28:55","Rejali, Darius_2025-11-19T21:28:55",1
"Akhavi, Shahrough_2025-11-19T21:28:55","Gilsenan, Michael_2025-11-19T21:28:55",1
"Akhavi, Shahrough_2025-11-19T21:28:55","Haag-Higuchi, Roxane_2025-11-19T21:28:55",1
"Akhavi, Shahrough_2025-11-19T21:28:55","Walker, Paul_2025-11-19T21:28:55",1
"Akhavi, Shahrough_2025-11-19T21:28:55","Rahimieh, Nasrin_2025-11-19T21:28:55",1
"Akhavi, Shahrough_2025-11-19T21:28:55","Beeman, William_2025-11-19T21:28:55",1
"Akhavi, Shahrough_2025-11-19T21:28:55","Ziai, Hossein_2025-11-19T21:28:55",1
"Akhavi, Shahrough_2025-11-19T21:28:55","Davidson, Olga_2025-11-19T21:28:55",1
"Akhavi, Shahrough_2025-11-19T21:28:55","Biran, Michal_2025-11-19T21:24:00",1
"Akhavi, Shahrough_2025-11-19T21:28:55","Melville, Charles_2025-11-19T21:28:55",1
"Akhavi, Shahrough_2025-11-19T21:28:55","Keddie, Nikki_2025-11-19T21:28:55",1
"Tassignon, Isabelle_2025-11-19T21:19:30","Van den Bossche, Benoît._2025-11-19T21:40:06",1
"Le Digol, Yannick_2025-11-19T21:22:22","TEGEL, Willy_2025-11-19T21:20:19",1
"Le Digol, Yannick_2025-11-19T21:22:22","Lagerås, Per_2025-11-19T21:20:52",1
"Le Digol, Yannick_2025-11-19T21:22:22","Couturier, Yann_2025-11-19T21:22:22",1
"Le Digol, Yannick_2025-11-19T21:22:22","Bonde, Niels_2025-11-19T21:22:22",1
"Le Digol, Yannick_2025-11-19T21:22:22","Krusic, Paul J._2025-11-19T21:15:51",1
"Le Digol, Yannick_2025-11-19T21:22:22","Rybníček, Michal_2025-11-19T21:22:22",1
"Le Digol, Yannick_2025-11-19T21:22:22","Leuschner, Hanns Hubert_2025-11-19T21:22:22",1
"Le Digol, Yannick_2025-11-19T21:22:22","Perrault, Christophe_2025-11-19T21:19:30",1
"Le Digol, Yannick_2025-11-19T21:22:22","Domínguez-Delmás, Marta_2025-11-19T21:22:22",1
"Le Digol, Yannick_2025-11-19T21:22:22","Kolář, Tomáš_2025-11-19T21:43:13",1
"Le Digol, Yannick_2025-11-19T21:22:22","Kyncl, Tomáš_2025-11-19T21:32:11",1
"Le Digol, Yannick_2025-11-19T21:22:22","Gschwind, Friederike M._2025-11-19T21:22:22",1
"Le Digol, Yannick_2025-11-19T21:22:22","Grabner, Michael_2025-11-19T21:22:22",1
"Le Digol, Yannick_2025-11-19T21:22:22","Linderson, Hans_2025-11-19T21:16:23",1
"Le Digol, Yannick_2025-11-19T21:22:22","Crone, Anne_2025-11-19T21:17:09",1
"Le Digol, Yannick_2025-11-19T21:22:22","Heussner, Karl-Uwe_2025-11-19T21:21:24",1
"Le Digol, Yannick_2025-11-19T21:22:22","Kontic, Raymond_2025-11-19T21:22:22",1
"Le Digol, Yannick_2025-11-19T21:22:22","Marais, Axel_2025-11-19T21:22:22",1
"Le Digol, Yannick_2025-11-19T21:22:22","Ginzler, Christian_2025-11-19T21:22:22",1
"Le Digol, Yannick_2025-11-19T21:22:22","Frank, Thomas_2025-11-19T21:22:22",1
"Le Digol, Yannick_2025-11-19T21:22:22","Neyses-Eiden, Mechthild_2025-11-19T21:22:22",1
"Le Digol, Yannick_2025-11-19T21:22:22","Shindo, Lisa_2025-11-19T21:22:22",1
"Le Digol, Yannick_2025-11-19T21:22:22","Daly, Aoife_2025-11-19T21:17:09",1
"Le Digol, Yannick_2025-11-19T21:22:22","Borghaerts, Paul_2025-11-19T21:22:22",1
"Le Digol, Yannick_2025-11-19T21:22:22","Ljungqvist, Fredrik Charpentier_2025-11-19T21:16:11",1
"Le Digol, Yannick_2025-11-19T21:22:22","Pfeifer, Klaus_2025-11-19T21:22:22",1
"Le Digol, Yannick_2025-11-19T21:22:22","Doeve, Petra_2025-11-19T21:22:22",1
"Le Digol, Yannick_2025-11-19T21:22:22","Mills, Coralie M._2025-11-19T21:22:22",1
"Le Digol, Yannick_2025-11-19T21:22:22","Seifert, Mathias_2025-11-19T21:22:22",1
"Le Digol, Yannick_2025-11-19T21:22:22","Spyt, Barbara_2025-11-19T21:22:22",1
"Le Digol, Yannick_2025-11-19T21:22:22","Hansson, Anton_2025-11-19T21:17:28",1
